date,material,source,name,spec,price,unit,region,qty,source_url
2026-09-03,PC,rawmex,PC,2805,16500.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",10吨,https://www.rawmex.cn/sell-9706488.html
2026-09-03,PC,rawmex,PC,940,18800.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",10吨,https://www.rawmex.cn/sell-9706479.html
2026-09-03,PC,rawmex,PC,LED2245  000000,36300.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",5吨,https://www.rawmex.cn/sell-9706486.html
2026-09-03,PC,rawmex,PC,141R-111,15800.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",30吨,https://www.rawmex.cn/sell-9706355.html
2026-09-03,PC,rawmex,PC,2407,18200.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",10吨,https://www.rawmex.cn/sell-9706359.html
2026-09-03,POM,rawmex,POM,F20-03,13200.0,元/吨,上海,100吨,https://www.rawmex.cn/sell-9710810.html
2026-09-03,POM,rawmex,POM,F20-02,13200.0,元/吨,上海,100吨,https://www.rawmex.cn/sell-9710806.html
2026-09-03,POM,rawmex,POM,100P  NC010,35000.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710802.html
2026-09-03,POM,rawmex,POM,K300,12000.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710798.html
2026-09-03,POM,rawmex,POM,F20-03,13200.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710795.html
2026-09-03,POM,rawmex,POM,F20-02,13200.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710791.html
2026-09-03,POM,rawmex,POM,M90-44,12000.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710788.html
2026-09-03,POM,rawmex,POM,100ST,30000.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710784.html
2026-09-03,POM,rawmex,POM,M90-04,12500.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710778.html
2026-09-03,POM,rawmex,POM,FM270,13200.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710776.html
2026-09-03,POM,rawmex,POM,MC90,9200.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710771.html
2026-09-03,POM,rawmex,POM,M90,11500.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710769.html
2026-09-03,POM,rawmex,POM,M90,11000.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710763.html
2026-09-03,POM,rawmex,POM,M270,11000.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710758.html
2026-09-03,POM,rawmex,POM,30A,8500.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710753.html
2026-09-03,POM,rawmex,POM,500P,29000.0,元/吨,上海,100吨,https://www.rawmex.cn/sell-9710749.html
2026-09-03,POM,rawmex,POM,K90,9200.0,元/吨,浙江省,100吨,https://www.rawmex.cn/sell-9710747.html
2026-09-03,POM,rawmex,POM,270,10500.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710746.html
2026-09-03,POM,rawmex,POM,MC90-L,8800.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710743.html
2026-09-03,POM,rawmex,POM,MC90-01,9000.0,元/吨,江苏省,100吨,https://www.rawmex.cn/sell-9710741.html
2026-09-03,PA6,rawmex,PA6,YH800,14200.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",32吨,https://www.rawmex.cn/sell-9709722.html
2026-09-03,PA6,rawmex,PA6,1013B,17800.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",22吨,https://www.rawmex.cn/sell-9706620.html
2026-09-03,PA6,rawmex,PA6,73G45L,18000.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",10吨,https://www.rawmex.cn/sell-9706624.html
2026-09-03,PA6,rawmex,PA6,1013B,17800.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",22吨,https://www.rawmex.cn/sell-9706382.html
2026-09-03,PA6,rawmex,PA6,73G45L,18000.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",10吨,https://www.rawmex.cn/sell-9706383.html
2026-09-03,PA6,rawmex,PA6,73G45L,18000.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",10吨,https://www.rawmex.cn/sell-9706211.html
2026-09-03,PA6,rawmex,PA6,1013B,17800.0,元/吨,"上海
  				                    				                    				                    				                  >    				                  上海市",22吨,https://www.rawmex.cn/sell-9706210.html
